spec_mz_index,oli_mass_index,delta_ppm
36,96,1.2265926252588069
38,100,2.196239226564757
40,103,1.1471757187609617
43,107,1.2473182681897421
59,110,2.7684428259701392
69,114,1.6236263639192243
73,115,1.3829895398049903
98,118,1.9020927023526695
108,119,2.068225744859208
128,120,2.2633759686925665
138,121,1.3234714637210567
141,122,1.2890503399214104
150,123,1.5646538036735242
161,124,1.2354601516410935
163,125,1.0951991451121137
186,127,1.352400742906257
189,128,1.185529901550746
190,129,2.344473105826988
196,131,0.5158074186611558
200,132,1.00498337155875
203,133,1.3749059420703136
